Comment,Designator,Footprint,LCSC
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C112972
Ferrite_Bead_Small,FB1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C139167
0.1uF,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C4,C5,C6,C7,C9",C_0402_1005Metric,C1525
10uF,C8,C_0402_1005Metric,C15525
22pF,"C2,C3",C_0402_1005Metric,C1555
500mA,F1,Fuse_1206_3216Metric,C163133
USB_C_Receptacle_USB2.0,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
22,"R4,R5",R_0402_1005Metric,C25092
10k,"R1,R6",R_0402_1005Metric,C25744
5.1k,"R2,R3",R_0402_1005Metric,C25905
~,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
PRTR5V0U2X,U2,SOT143B,C2827688
AVR-ISP-6,"J1,SW1",Reset_Pretty-Mask,C318884
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C45874
1uF,C1,C_0402_1005Metric,C52923
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D7,D8,D9",D_SOD-123F,C81598
~,MX22,mx_1u,
~,MX31,mx_1u,
~,MX25,mx_1u,
~,MX45,mx_1u,
~,MX6,mx_1u,
~,MX19,mx_1u,
~,MX30,mx_stepped_caps,
~,MX33,mx_1u,
~,MX42,mx_1u,
~,MX56,mx_1u,
~,MX29,mx_iso,
~,MX60,mx_7u,
~,MX37,mx_1u,
~,MX5,mx_1u,
~,MX61,mx_15u,
~,MX35,mx_1u,
~,MX34,mx_1u,
~,MX14,mx_1u,
~,MX53,mx_1u,
~,MX42b1,mx_225u,
~,MX2,mx_1u,
~,MX23,mx_1u,
~,MX15b1,mx_2u,
~,MX10,mx_1u,
~,MX9,mx_1u,
~,MX47,mx_1u,
~,MX21,mx_1u,
~,MX13,mx_1u,
~,MX38,mx_1u,
~,MX39,mx_1u,
~,MX51,mx_1u,
~,MX3,mx_1u,
~,MX48,mx_1u,
~,MX49,mx_1u,
~,MX59,mx_15u,
~,MX43,mx_125u,
~,MX12,mx_1u,
~,MX20,mx_1u,
~,MX43b1,mx_225u,
~,MX62,mx_1u,
~,MX17,mx_1u,
~,MX15,mx_1u,
~,MX58,mx_1u,
~,MX7,mx_1u,
~,MX56b1,mx_275u,
~,MX57,mx_15u,
~,MX63,mx_15u,
~,MX40,mx_1u,
~,MX55,mx_175u,
~,MX29b1,mx_15u,
MX-NoLED,MX1,mx_1u,
~,MX8,mx_1u,
~,MX28,mx_1u,
~,MX24,mx_1u,
~,MX18,mx_1u,
~,MX4,mx_1u,
~,MX52,mx_1u,
~,MX41,mx_1u,
~,MX44,mx_1u,
~,MX32,mx_1u,
~,MX16,mx_15u,
~,MX27,mx_1u,
~,MX26,mx_1u,
~,MX50,mx_1u,
~,MX46,mx_1u,
~,MX54,mx_1u,
~,MX36,mx_1u,
~,MX11,mx_1u,
