Comment,Designator,Footprint,LCSC
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D7,D8,D9",D_SOD-123F,C124191
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
10uF,C8,C_0805_2012Metric,C15850
USB_C_Receptacle_USB2.0,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
22,"R4,R5",R_0805_2012Metric,C17557
10k,"R1,R6",R_0805_2012Metric,C17724
22pF,"C2,C3",C_0805_2012Metric,C1804
Ferrite_Bead_Small,FB1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C18305
SW_Push,SW1,SKQG-1155865,C202424
500mA,F1,Fuse_0805_2012Metric,C261942
~,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
5.1k,"R2,R3",R_0805_2012Metric,C27834
PRTR5V0U2X,U2,SOT143B,C2827688
1uF,C1,C_0805_2012Metric,C28323
0.1uF,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C4,C5,C6,C7,C9",C_0805_2012Metric,C49678
AVR-ISP-6,J1,Reset_Pretty-Mask,
